"sumlevel","geoid","st_fips","cnty_fips","cnty_sub_fips","drive1216_est","drive1216_moe","edass1216_est","edass1216_moe","edcoll1216_est","edcoll1216_moe","edhs1216_est","edhs1216_moe","edlesshs1216_est","edlesshs1216_moe","edsomecol1216_est","edsomecol1216_moe","fhhhkids1216_est","fhhhkids1216_moe","gini1216_est","gini1216_moe","hh1216_est","hh1216_moe","hhkids1216_est","hhkids1216_moe","highrent1216_est","highrent1216_moe","hispanic1216_est","hispanic1216_moe","langasn1216_est","langasn1216_moe","langeng1216_est","langeng1216_moe","langoth1216_est","langoth1216_moe","langspan1216_est","langspan1216_moe","medincacs1216_est","medincacs1216_moe","medrent1216_est","medrent1216_moe","noveh1216_est","noveh1216_moe","persons1216_est","persons1216_moe","pov185_1216_est","pov185_1216_moe","prateacs1216_est","prateacs1216_moe","pratekidsacs1216_est","pratekidsacs1216_moe","pubtrans1216_est","pubtrans1216_moe","r95hhincper_1216_est","r95hhincper_1216_moe","raceaa1216_est","raceaa1216_moe","raceamind1216_est","raceamind1216_moe","raceasian1216_est","raceasian1216_moe","raceoth1216_est","raceoth1216_moe","racewhite1216_est","racewhite1216_moe","renters1216_est","renters1216_moe","walkoth1216_est","walkoth1216_moe"
"060","5510542575",55,105,"42575",91.6243654822335,25.1607344637931,12.0634920634921,4.12347218497636,15.5555555555556,3.90375806198627,44.2857142857143,5.96358561019672,7.14285714285714,3.71368416327112,20.952380952381,4.69186368883571,4.40528634361234,3.91884900787254,0.3812,0.0519,325,37,23.3846153846154,7.21692666216813,36.046511627907,23.6228186717647,4.69361147327249,4.52201539509146,0,1.20643431635389,94.6380697050938,4.43841004031697,0,1.20643431635389,5.36193029490617,4.30707755318706,58750,8750,839,79,2.46153846153846,2.4455345013379,767,100,21.251629726206,8.5567853263802,4.82398956975228,2.5305751225426,0,8.10810810810811,0,2.28426395939086,3.11702127659575,1.43046454830766,0,1.17340286831812,0,1.17340286831812,0,1.17340286831812,1.82529335071708,2.15683482198504,93.4810951760104,3.83516615986721,26.4615384615385,8.3991593711229,2.43243243243243,1.73544336232775
"060","5510544125",55,105,"44125",88.6855241264559,5.0826579620201,6.12485276796231,2.47197617477183,24.7349823321555,4.14258562248898,37.6914016489988,4.57253551696466,16.8433451118963,5.91706851651255,14.605418138987,3.01261228032384,6.90690690690691,5.32421223125818,0.4077,0.0475,486,48,30.2469135802469,7.44791342724224,29.4117647058824,26.6281467798926,19.520264681555,10.8334631830599,0,0.779220779220779,78.961038961039,11.5668474209653,2.25108225108225,1.61162046432044,18.7878787878788,7.53917380702237,57750,7730,792,327,1.440329218107,1.22634476897473,1209,145,28.6307053941909,11.138968165774,15.6016597510373,9.0209649732972,27.1739130434783,11.9438415351909,0.166389351081531,1.1645353886231,3.0021645021645,0.639594258586912,0.248138957816377,0.412492761471205,0,0.744416873449131,0,0.744416873449131,0.33085194375517,0.942237982754039,79.9007444168735,11.8852635285383,13.9917695473251,6.22710944996574,0.927643784786642,2.11071551999614
"060","5510548150",55,105,"48150",92.6952141057935,5.16755392537667,8.23754789272031,3.31163018524049,19.9233716475096,3.80605029020324,43.6781609195402,7.11363527655088,9.57854406130268,4.25525228248584,18.5823754789272,4.49178005669732,4.97737556561086,4.8909704169708,0.3765,0.0448,314,44,27.3885350318471,8.04904079070039,27.6595744680851,24.5569444073047,2.35910878112713,2.33355450930814,0,1.23287671232877,95.3424657534246,18.5783697046704,3.42465753424658,3.26353093077226,1.23287671232877,1.5513949266926,55313,8374,679,234,3.82165605095541,3.46201139179785,763,112,27.5229357798165,9.34109488962637,11.1402359108781,7.02045357653334,14.6853146853147,13.2557565600217,0,2.26700251889169,2.78099181024352,0.55942934021943,0,1.17955439056356,0,1.17955439056356,0,1.17955439056356,0.131061598951507,1.24321065340781,97.5098296199214,19.7651339910661,14.968152866242,5.33498686511114,2.9023746701847,2.19037586819271
"060","5510552200",55,105,"52200",91.9252336448598,6.28462083907944,14.4499178981938,3.77159238846436,23.5905856595512,5.20447054521916,32.7586206896552,5.67633895696985,8.62068965517242,3.5020304312365,20.5801860974275,4.89479671640144,17.9417738659445,6.18063633648624,0.3853,0.0403,2334,159,33.7617823479006,3.86633993708702,51.9795657726692,16.0568513909445,2.22461428058845,2.09901892293652,0,0.234237751317587,97.9894593011907,5.50226181812659,0.331836814366582,0.541200513772377,1.67870388444271,1.9265071456631,53046,7968,755,59,6.51242502142245,2.92281971162093,5574,18,24.0972600254037,7.16786309530848,7.67555797495917,3.86380234057765,15.3627311522048,6.73023611816499,0,0.448598130841121,3.06385024318516,0.959867316300013,1.1302475780409,1.02259843795088,0,0.215285252960172,0,0.215285252960172,1.74022246142806,1.3272167886557,94.9049156799426,2.99837130632231,33.547557840617,5.91489011145988,4.31906614785992,3.00664563137593
"060","5510552225",55,105,"52225",90.3622250970246,3.10733948776614,10.6603773584906,2.95717851513582,26.4622641509434,3.88032913677218,37.8301886792453,4.75386288750008,4.95283018867925,2.27172352952308,20.0943396226415,3.78926870461449,3.75690607734807,3.19769042707631,0.3451,0.0344,1143,73,29.3088363954506,4.81049426337583,32.620320855615,16.3317356816025,2.29846768820786,2.26509949710157,0,0.319715808170515,96.3765541740675,6.36544716196332,1.24333925399645,1.1199258063465,2.38010657193606,1.5722750452762,76771,7635,1070,133,2.27471566054243,2.00699721596832,3002,21,15.9893404397069,4.98407533973813,6.52898067954697,2.7644461915098,11.0749185667752,5.36047433848723,0.840879689521345,0.901629889730055,2.46699925753214,0.474597210227129,1.36575616255829,1.76546382289586,0,0.299800133244504,0.532978014656895,0.599588674760836,4.43037974683544,2.88023459184631,91.3724183877415,3.91215209830497,16.3604549431321,4.60741167281693,3.42465753424658,2.54703482541071
"060","5510556325",55,105,"56325",91.497975708502,3.05850193277255,12.5108601216334,2.9456734594948,15.0304083405734,3.2063744370932,40.3127715030408,4.49263436802741,9.47002606429192,2.7338118806175,22.6759339704605,4.19807167016403,2.09205020920502,1.87385060669497,0.3258,0.0247,591,45,26.7343485617597,5.56132526720445,18.1818181818182,31.4061669092408,0.953591862682772,1.01161701170475,0.529801324503311,0.729377188544503,97.0860927152318,13.3208658522567,1.85430463576159,1.10303428664355,0.529801324503311,0.841083815872412,75598,7582,775,439,2.36886632825719,2.36198944792674,1573,175,13.4138588684043,4.45189294597779,4.70438652256834,2.16261799833007,4.32098765432099,3.93879964152943,0,1.21457489878543,2.08871927828779,0.327785697770127,0.127145581691036,0.253897435400196,0.190718372536554,0.253404415142146,0.762873490146217,0.694131325810651,3.68722186904005,5.10143957331981,94.2784488239034,13.9637174695135,5.58375634517767,2.15818230041433,1.73913043478261,1.22447681741825
"060","5510560250",55,105,"60250",89.6499238964993,6.20891777838265,13.4529147982063,4.02280613989478,21.9730941704036,4.59612706682062,37.3318385650224,4.71261271288009,8.07174887892377,3.42643047857275,19.1704035874439,4.00744998393823,12.5,6.20518892166314,0.3533,0.0312,539,51,37.1057513914657,7.16363205810325,35.1648351648352,15.385602320345,5.11060259344012,2.84444132711355,1.45513338722716,1.77579502030656,95.9579628132579,13.2990452573677,0,0.727566693613581,2.58690379951496,2.05792607374551,51902,8310,604,53,8.90538033395176,5.12601069212469,1311,143,23.4795996920708,6.83663864501434,11.008468052348,4.30678324280284,14.8148148148148,8.729009669632,0,1.36986301369863,2.40919425070325,0.502735442582047,0,0.68649885583524,0,0.68649885583524,1.22044241037376,1.51973368158937,0.22883295194508,0.750832961619308,93.440122044241,3.66598257307042,33.7662337662338,8.51098843338438,5.91054313099042,2.96131255718771
"060","5510563675",55,105,"63675",86.5486725663717,6.98984611444548,14.4186046511628,3.6471509649259,18.0232558139535,4.45041545036569,38.7209302325581,5.37909822384453,11.7441860465116,3.7244472636299,17.093023255814,3.68419545438021,6.94087403598972,6.3513670184785,0.3688,0.0514,460,48,36.7391304347826,8.52554939868045,21.4285714285714,19.4881931171268,1.14503816793893,1.13405589493514,0.562700964630225,1.0786789203878,98.7138263665595,18.3825221117141,0.482315112540193,0.866944900375732,0.241157556270097,0.791006377011063,66538,9909,924,127,4.1304347826087,3.67043353856939,1310,181,21.9474497681607,7.77533155825775,9.50540958268934,4.84402605313156,13.8801261829653,8.33645717579602,0.707964601769912,0.876913090043415,2.2167783822778,0.345571353168745,1.37404580152672,1.36086707392217,0,0.687022900763359,0.534351145038168,0.759780051731067,4.42748091603053,4.51465894083778,92.5190839694657,3.31538748480012,21.304347826087,7.27669177400021,1.79282868525896,1.38956359632655
"060","5510564225",55,105,"64225",87.5685557586837,7.34587620785848,13.6423841059603,3.57881584132006,28.8741721854305,5.28218848902051,34.9668874172185,5.54310359597769,4.50331125827815,2.63870438665432,18.0132450331126,4.13855127129473,4.80769230769231,4.446754432106,0.409,0.0624,409,44,24.9388753056235,7.08874004704509,41.4285714285714,24.2074196686418,1.364522417154,1.35452025305378,0.402010050251256,1.08605496145434,97.0854271356784,16.1400207048861,0.703517587939699,1.1472741481534,1.80904522613065,1.49557454166815,75625,9298,850,167,0.733496332518338,0.974806536043494,1026,124,14.74609375,6.35715414791331,4.4921875,2.07843065501283,6.38297872340426,6.99966157684033,0,1.64533820840951,3.15330909090909,1.51638230486345,0.292397660818713,0.486046466631264,0,0.87719298245614,0.389863547758285,0.582894039418836,1.94931773879142,2.11785403236651,96.0038986354776,3.38239970125426,17.1149144254279,5.57162573196491,1.23711340206186,2.22130321101877
"060","5510568600",55,105,"68600",93.8679245283019,9.20015554608011,11.540208995911,5.03013166241508,4.27078600636075,2.82708491875826,54.6115402089959,9.62461217749156,13.8573375738301,5.72120211055806,15.7201272149023,5.17425996240146,10.589651022864,7.66584089377751,0.3225,0.0435,1211,176,33.1131296449216,7.31141273365305,69.2307692307692,44.2845154448198,13.9292482627922,8.33813331668192,0.340020401224073,0.653866918685798,85.31111866712,12.9604094491122,0.102006120367222,0.387656279057912,14.2468548112887,7.35519052959098,44809,11395,727,259,0.990916597853014,1.72811363158162,3166,20,41.9088507265522,16.1447754093572,16.6776750330251,10.9806564647452,39.0096618357488,15.9083304536653,0,0.707547169811321,2.4626972260037,0.723142259713543,1.04232469993683,1.35816470864617,0,0.284270372710044,0.315855969677827,0.536951441219651,10.0126342387871,8.87987868929739,74.6999368288061,12.5622076782566,10.7349298100743,7.43510185316243,5.01193317422434,5.07307811865309
